,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3335,470,150;150;150,3,9.525968742278328;4.606817505403015;3.642988554420822,0.06308215760712052;0.03332207532130623;0.027601137495020314,0.06970577416454132;0.03996307692307195;0.03426348433173281,0.14677085144662166;0.0;0.0,0.67918;0.0842505690499205;0.045124816946497295,10.0
3336,470,160;160;160,3,9.474959357859506;4.424343205502108;3.7138230657639864,0.05913308742303492;0.03002003955507825;0.026449925253963426,0.06537525232317035;0.03619875299638363;0.032713557197805755,0.136938317241373;0.0;0.0,0.65886;0.0799929624959681;0.04711507810009563,10.0
3337,470,170;170;170,3,9.42314662804939;4.642136952802091;3.6520777711467827,0.05530161043916138;0.02971419818583555;0.02440330146894862,0.061171309208964235;0.03558244470579338;0.03028877025792017,0.1294897113192314;0.0;0.0,0.63492;0.08296572321012687;0.041982908026056295,10.0
3338,470,180;180;180,3,9.387679476216487;4.576737549721119;3.56316057365838,0.05241538990360962;0.02787984010328158;0.02259635594584708,0.05799950286550775;0.03344533005511958;0.028146029887494203,0.12192396207315877;0.0;0.0,0.61826;0.0832700117909079;0.03938943517036359,10.0
3339,470,190;190;190,3,9.325300738281962;4.605162801952966;3.6354644442185684,0.049157131870982425;0.026512529361187483;0.021923002300034154,0.05442908067570578;0.03179252639009918;0.027192843954641447,0.1156099339989688;0.0;0.0,0.59816;0.08443481940606876;0.04484634212673375,10.0
3340,470,200;200;200,3,9.260127989507572;4.644481470615251;3.6255882979554066,0.04632206833240239;0.025382489384366224;0.020714532172479917,0.051324794792154564;0.030417324098169718;0.02574106557803359,0.10960872006840187;0.0;0.0,0.57575;0.08450040081105295;0.04337858375621442,10.0
3341,470,210;210;210,3,9.185549127182917;4.477878204285511;3.7501436856458517,0.04360013299803609;0.023141910428520197;0.020317885023687487,0.04834679574206046;0.027876198650158154;0.025127587471861012,0.10336376752315751;0.0;0.0,0.55055;0.08140828771086482;0.04589734890709058,10.0
3342,470,220;220;220,3,9.127121756027773;4.633442102219762;3.5384551560148063,0.04162824311535728;0.023092669947500515;0.01834912278721374,0.046188776990589646;0.02765646355383743;0.022873410631172902,0.09865394858659444;0.0;0.0,0.53363;0.08473812894093424;0.03872026251025431,10.0
3343,470,230;230;230,3,9.06951997128755;4.664074969635914;3.6956175645853087,0.03930325861496124;0.022067696194170976;0.018349222591356778,0.04363690990882076;0.02642329676575512;0.022716635389229845,0.09463061817545429;0.0;0.0,0.51227;0.08397932816537468;0.04686730261095436,10.0
3344,470,240;240;240,3,8.987314745889982;4.554702199913993;3.6161843979861756,0.03761745603677466;0.0207585555620908;0.017260743217512167,0.04180222939963344;0.024949275037801713;0.021449041534160683,0.08994733003076785;0.0;0.0,0.49203;0.08147754346584755;0.04504910159097732,10.0
3345,470,250;250;250,3,8.873791083525777;4.528777842536309;3.5763969274093967,0.035451217151304164;0.019749448502395513;0.01632328422916966,0.03944468392913324;0.023745756124608317;0.020314150112337833,0.08523405085222113;0.0;0.0,0.46909;0.0837383670547455;0.04443758996504216,10.0
3346,470,260;260;260,3,8.730182537942994;4.6962135408193255;3.6463108229654773,0.033458487364779695;0.019695496598682822;0.016005766631940463,0.03728777459304274;0.02356945323261417;0.019863416480737413,0.08239335856551394;0.0;0.0,0.44685;0.0860335599594966;0.0444796201028888,10.0
3347,470,270;270;270,3,8.713630030888886;4.523455330914917;3.555246619137418,0.03242699149942494;0.018320445251394136;0.01502791834181956,0.03614554806708816;0.022027979186404662;0.01872872593248154,0.07841392791627855;0.0;0.0,0.43221;0.08104918263810598;0.041661873538095785,10.0
3348,470,280;280;280,3,8.554628778596117;4.655354452327391;3.513833695298899,0.030699310789360414;0.018269744039056717;0.014375128342776973,0.034284065334605894;0.021873091284331223;0.017931645919095886,0.07564508696020332;0.0;0.0,0.40437;0.08550223326728683;0.04058694973462379,10.0
3349,470,290;290;290,3,8.418153560446793;4.60186759562139;3.58806989696057,0.028947041036800895;0.017327762735206358;0.014131394243819102,0.03237867042822203;0.0207768643641501;0.017580414423936618,0.07226624062032659;0.0;0.0,0.38326;0.0866808296709534;0.043790954131372864,10.0
3350,470,300;300;300,3,8.308585440607464;4.467599949835235;3.6232744767680454,0.02778169931230588;0.01623413557914396;0.013762311949254837,0.031117119968776065;0.019564057783752118;0.01710069059858121,0.06919833257876547;0.0;0.0,0.36512;0.07974290710313647;0.04317827732027599,10.0
3351,470,310;310;310,3,8.163655419513834;4.487069178739537;3.582620515154656,0.026481787799181616;0.015793459311420194;0.013150750263577092,0.029716489627325864;0.019012423486501954;0.01637941484592512,0.06647060637745571;0.0;0.0,0.34477;0.07841191824523377;0.0409011844611944,10.0
3352,470,320;320;320,3,7.920791817332864;4.700435913069551;3.527955827478166,0.02471426769677606;0.0160476078136468;0.012584119542149707,0.027816289421920597;0.01918786841636732;0.015703390630350256,0.0640898223505711;0.0;0.0,0.31568;0.08598237383259526;0.042716179692622626,10.0
3353,470,330;330;330,3,7.856355786708684;4.506077627430803;3.620428416589155,0.02401583524233868;0.014913817010034193;0.012521585956504724,0.027056677115273754;0.01794667989085477;0.015554661375336289,0.06178700873962263;0.0;0.0,0.30467;0.07633445046962875;0.04297173117358461,10.0
3354,470,340;340;340,3,7.584133208993292;4.499908559204743;3.7195523220901423,0.022402624319772135;0.014404977286324259;0.012519900069820171,0.02532722285426788;0.01733414719713186;0.015478775461475754,0.05946024086405293;0.0;0.0,0.27858;0.07710970317893832;0.04894464057687974,10.0
3355,470,350;350;350,3,7.454700571696863;4.453453500865017;3.5038282990048204,0.021550297340550983;0.013914512584519525;0.011392487311307282,0.02441088316064214;0.0167693295012061;0.01422878536227094,0.0565442854755659;0.0;0.0,0.26625;0.07471820523654404;0.039010017678255744,10.0
3356,470,360;360;360,3,7.311312504930152;4.4276063717995005;3.473137064015728,0.020646939501158923;0.013512035985765567;0.011058535398578744,0.023436258052307445;0.016285605068290476;0.01382758992612423,0.05464825021288175;0.0;0.0,0.2502;0.07457351313139397;0.04154054599440745,10.0
3357,470,370;370;370,3,7.038953414417866;4.411173951388523;3.5501869328253175,0.019305622082083397;0.013060785613244788;0.010955747975506875,0.022001203794566413;0.015757869573856147;0.013653154244424068,0.05244956449307349;0.0;0.0,0.22961;0.0735826766542471;0.04056894618834081,10.0
